I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-361.69,453.51,819.59,-48.69,-592.9,634.22,0.0,0.0,0.0,0.0,0.0,0.0
-370.71,229.0,604.13,67.718,-489.44,413.74,0.0,0.0,0.0,0.0,0.0,0.0
-368.42,26.009,398.87,167.73,-385.42,209.17,0.0,0.0,0.0,0.0,0.0,0.0
-347.39,-136.61,215.22,238.24,-282.84,35.729,0.0,0.0,0.0,0.0,0.0,0.0
-306.5,-245.96,65.006,272.3,-187.08,-94.185,0.0,0.0,0.0,0.0,0.0,0.0
-250.91,-297.89,-42.492,270.45,-105.38,-173.86,0.0,0.0,0.0,0.0,0.0,0.0
-189.76,-298.34,-104.08,240.22,-43.931,-204.73,0.0,0.0,0.0,0.0,0.0,0.0
-132.75,-261.81,-124.55,193.67,-5.1611,-196.54,0.0,0.0,0.0,0.0,0.0,0.0
-87.185,-207.03,-115.31,143.74,13.038,-164.41,0.0,0.0,0.0,0.0,0.0,0.0
-56.405,-151.42,-90.461,100.74,16.095,-124.12,0.0,0.0,0.0,0.0,0.0,0.0
-39.928,-106.93,-62.439,70.376,10.491,-87.873,0.0,0.0,0.0,0.0,0.0,0.0
-53.402,-97.939,-37.095,67.634,-8.723,-64.287,,,,,,
-56.11,-79.524,-21.407,64.116,-17.227,-49.893,,,,,,
-58.474,-73.687,-13.594,63.775,-22.404,-42.668,,,,,,
-56.213,-74.99,-17.578,62.467,-22.24,-41.918,,,,,,
-46.171,-75.906,-19.733,56.796,-15.992,-45.183,,,,,,
-40.306,-73.299,-19.652,47.741,-13.579,-47.083,,,,,,
-37.741,-63.96,-19.405,40.867,-12.891,-47.635,,,,,,
-36.268,-53.932,-17.977,36.809,-13.087,-43.348,,,,,,
-35.339,-47.238,-15.889,34.42,-13.549,-37.299,,,,,,
-34.755,-43.24,-14.098,33.019,-13.95,-33.203,,,,,,
-34.375,-40.967,-12.876,32.21,-14.175,-30.619,,,,,,
-34.091,-39.629,-12.135,31.71,-14.227,-29.009,,,,,,
-33.82,-38.66,-11.69,31.308,-14.144,-27.884,,,,,,
-33.507,-37.718,-11.386,30.871,-13.962,-26.892,,,,,,
-33.116,-36.65,-11.136,30.334,-13.699,-25.855,,,,,,
-32.631,-35.431,-10.912,29.684,-13.369,-24.72,,,,,,
-32.056,-34.094,-10.696,28.933,-12.989,-23.494,,,,,,
-31.403,-32.673,-10.459,28.098,-12.591,-22.182,,,,,,
-30.691,-31.179,-10.153,27.191,-12.211,-20.774,,,,,,
-29.934,-29.615,-9.7374,26.217,-11.877,-19.268,,,,,,
-29.135,-28.001,-9.2113,25.183,-11.589,-17.707,,,,,,
-28.282,-26.379,-8.6285,24.101,-11.316,-16.181,,,,,,
-27.354,-24.808,-8.0799,22.983,-11.009,-14.791,,,,,,
-26.323,-23.328,-7.6468,21.834,-10.627,-13.6,,,,,,
-25.165,-21.931,-7.35,20.644,-10.154,-12.591,,,,,,
-23.863,-20.546,-7.129,19.374,-9.6137,-11.668,,,,,,
-22.401,-19.055,-6.8646,17.96,-9.052,-10.686,,,,,,
-20.748,-17.322,-6.4312,16.32,-8.5132,-9.514,,,,,,
-18.846,-15.242,-5.7502,14.361,-8.0084,-8.0988,,,,,,
-16.606,-12.774,-4.8255,12.007,-7.5021,-6.4909,,,,,,
-13.93,-9.9556,-3.7524,9.217,-6.9248,-4.8143,,,,,,
-10.747,-6.8882,-2.6852,6.0062,-6.2018,-3.1959,,,,,,
-7.0493,-3.698,-1.7691,2.4469,-5.2834,-1.7113,,,,,,
-2.9097,-0.49049,-1.07,-1.3499,-4.164,-0.37435,,,,,,
1.5328,2.6785,-0.55092,-5.2638,-2.8832,0.84482,,,,,,
6.1105,5.799,-0.10703,-9.1894,-1.5102,1.9919,,,,,,
10.674,8.8769,0.36369,-13.045,-0.11295,3.1042,,,,,,
15.125,11.903,0.89804,-16.77,1.2741,4.1958,,,,,,
19.425,14.842,1.4467,-20.32,2.6664,5.2568,,,,,,
23.569,17.648,1.9056,-23.667,4.1158,6.2643,,,,,,
27.553,20.29,2.1811,-26.798,5.6772,7.1981,,,,,,
31.347,22.762,2.2462,-29.71,7.3737,8.0547,,,,,,
34.898,25.082,2.1493,-32.403,9.1812,8.8495,,,,,,
38.148,27.266,1.9718,-34.874,11.039,9.6049,,,,,,
41.061,29.31,1.7635,-37.111,12.886,10.328,,,,,,
43.626,31.175,1.4965,-39.098,14.696,10.994,,,,,,
45.852,32.795,1.0653,-40.812,16.5,11.547,,,,,,
47.764,34.096,0.33691,-42.239,18.359,11.916,,,,,,
49.389,35.019,-0.77035,-43.373,20.326,12.044,,,,,,
50.753,35.539,-2.2244,-44.227,22.394,11.909,,,,,,
51.882,35.675,-3.8839,-44.83,24.491,11.528,,,,,,
52.807,35.49,-5.5717,-45.226,26.506,10.96,,,,,,
53.565,35.068,-7.1576,-45.464,28.343,10.278,,,,,,
54.199,34.494,-8.5905,-45.593,29.964,9.5526,,,,,,
54.751,33.835,-9.8862,-45.65,31.393,8.8271,,,,,,
55.255,33.119,-11.096,-45.658,32.693,8.1113,,,,,,
55.728,32.343,-12.277,-45.62,33.928,7.3903,,,,,,
56.168,31.481,-13.46,-45.528,35.126,6.6431,,,,,,
56.553,30.508,-14.635,-45.361,36.265,5.8605,,,,,,
56.856,29.411,-15.758,-45.097,37.287,5.0533,,,,,,
57.051,28.203,-16.774,-44.719,38.131,4.2478,,,,,,
57.122,26.915,-17.641,-44.223,38.763,3.4737,,,,,,
57.073,25.591,-18.345,-43.616,39.188,2.7517,,,,,,
56.92,24.274,-18.905,-42.92,39.444,2.0877,,,,,,
56.687,23.007,-19.352,-42.166,39.574,1.4759,,,,,,
56.397,21.825,-19.707,-41.385,39.61,0.91219,,,,,,
56.065,20.77,-19.967,-40.606,39.557,0.41,,,,,,
55.694,19.884,-20.101,-39.853,39.395,0.0068629,,,,,,
55.275,19.21,-20.071,-39.143,39.089,-0.24644,,,,,,
54.802,18.768,-19.844,-38.486,38.614,-0.31232,,,,,,
54.273,18.549,-19.419,-37.887,37.965,-0.19077,,,,,,
53.702,18.519,-18.823,-37.354,37.172,0.078367,,,,,,
53.119,18.639,-18.113,-36.903,36.294,0.43798,,,,,,
52.564,18.893,-17.344,-36.56,35.403,0.84404,,,,,,
52.076,19.305,-16.544,-36.365,34.551,1.2858,,,,,,
51.685,19.939,-15.697,-36.358,33.751,1.7906,,,,,,
51.406,20.874,-14.739,-36.576,32.97,2.4171,,,,,,
51.242,22.18,-13.581,-37.04,32.146,3.245,,,,,,
51.19,23.888,-12.126,-37.75,31.214,4.3656,,,,,,
51.252,25.98,-10.292,-38.688,30.131,5.8739,,,,,,
51.426,28.393,-8.0265,-39.813,28.887,7.8553,,,,,,
51.702,31.049,-5.3234,-41.075,27.494,10.362,,,,,,
52.056,33.874,-2.2278,-42.417,25.964,13.387,,,,,,
52.447,36.812,1.1707,-43.785,24.293,16.86,,,,,,
52.828,39.826,4.7573,-45.132,22.453,20.665,,,,,,
